A,B,C,D,E,F,G,H,I,J,K,L,M
1,0,2,2,0,0,0,1,0,1,2,0,0
1,2,1,2,0,0,0,0,0,1,2,0,0
1,0,1,3,19,0,0,1,0,0,1,78,38
1,1,7,1,136,39,41,2,0,8,1,34,2
18,1,31,3,84,61,59,19,0,37,1,1,0
28,0,34,3,0,21,17,25,0,29,3,1,0
8,0,2,1,0,0,0,3,0,1,2,1,0
1,2,1,0,0,0,0,1,1,1,1,0,0
1,0,1,4,0,0,0,1,0,1,2,0,0
1,0,1,2,0,0,0,1,0,0,1,0,0
1,0,1,2,17,0,0,1,1,1,2,77,20
2,0,7,2,138,40,35,0,0,3,1,32,25
18,0,39,2,84,64,61,27,0,28,2,0,0
27,0,27,2,0,13,25,29,1,29,1,0,0
5,0,1,2,0,0,0,11,0,1,2,0,0
1,0,1,3,0,0,0,1,0,0,3,0,0
1,0,1,2,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,1,0,1,1,0,0
1,0,1,4,24,0,0,1,0,1,1,62,23
2,0,7,2,128,40,44,1,0,9,3,35,2
21,0,32,2,86,60,61,25,0,27,2,0,0
31,1,19,1,0,10,23,32,0,28,1,0,0
4,0,1,3,0,0,0,10,0,2,2,1,0
1,0,1,2,0,0,0,1,0,1,0,0,0
1,1,1,2,0,0,0,1,1,1,3,0,0
1,0,1,1,0,0,0,1,0,1,1,0,0
1,1,1,1,15,0,0,0,0,1,3,70,29
1,0,7,3,121,36,39,2,0,5,2,74,4
14,0,29,3,102,60,57,27,0,28,1,2,0
33,0,33,2,0,29,17,24,0,26,1,1,0
15,1,2,1,0,0,0,7,0,1,2,0,0
1,1,1,2,0,0,0,1,0,1,1,0,0
1,0,1,3,0,0,0,0,0,1,2,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,0,1,2,20,0,0,1,0,0,2,90,30
4,0,5,2,122,37,40,3,0,6,2,38,11
19,0,28,2,91,56,60,22,0,30,1,11,0
28,0,32,2,5,41,4,31,0,16,1,0,0
20,0,6,2,0,0,0,2,0,1,3,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,2,2,0,0,0,1,2,0,1,0,1
1,1,1,2,24,0,0,0,0,1,3,71,25
1,2,7,1,132,39,42,2,0,5,1,51,5
18,0,32,4,82,58,62,32,0,33,2,4,0
28,0,28,1,0,26,11,24,1,24,1,0,0
10,1,6,2,0,0,0,2,1,1,1,0,1
1,0,1,2,0,0,0,0,0,0,2,0,0
1,2,1,1,0,0,0,1,1,1,2,0,0
1,0,1,4,0,0,0,1,0,1,2,0,0
1,0,1,2,20,0,0,1,0,1,1,57,37
2,0,5,2,126,38,40,2,1,7,2,15,13
24,0,23,2,88,58,60,22,0,31,2,0,0
31,0,19,2,4,3,38,26,0,28,2,0,0
2,0,2,1,0,0,0,16,0,12,1,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,1,1,2,0,0,0,1,0,1,2,0,0
1,0,1,2,0,0,0,0,0,1,2,0,0
1,0,1,3,25,0,0,1,0,1,1,74,19
1,0,10,2,119,38,41,2,0,7,2,64,5
18,0,20,2,95,56,62,23,0,34,2,15,0
39,0,31,2,0,37,5,31,0,15,0,0,1
16,0,4,2,0,0,0,1,0,1,2,2,0
1,0,1,2,0,0,0,1,0,1,3,0,0
1,2,1,0,0,0,0,1,1,1,1,1,0
1,1,1,4,0,0,0,1,0,1,1,0,0
1,0,1,2,17,0,0,1,0,0,2,80,33
2,1,6,2,131,35,42,2,0,8,2,38,8
17,0,36,2,89,62,63,22,0,28,2,0,1
24,0,33,2,0,18,17,37,0,25,2,0,0
4,0,1,2,0,0,0,6,1,1,0,0,0
1,0,1,3,0,0,0,1,0,1,3,0,0
2,0,2,1,0,0,0,1,1,1,1,1,0
2,1,2,3,0,0,0,2,1,2,3,0,0
2,0,2,5,20,0,0,1,0,1,3,104,32
1,1,10,3,116,37,41,1,0,13,3,68,19
24,2,23,3,117,54,57,21,0,26,2,63,3
39,1,21,5,106,55,59,35,0,28,5,12,0
26,0,33,4,27,60,22,27,0,31,2,2,0
30,1,16,2,0,1,0,10,0,2,3,0,0
3,0,2,4,0,0,0,2,0,1,4,0,0
1,2,2,3,0,0,0,1,1,2,1,1,0
2,0,2,4,20,0,0,2,2,1,2,124,32
2,2,9,4,118,38,41,3,0,9,5,102,16
22,1,24,3,113,56,60,27,1,32,3,90,14
32,0,31,4,125,57,55,26,0,31,2,18,0
28,1,24,4,10,41,36,24,0,31,2,0,0
26,1,13,3,0,0,0,17,1,7,3,1,0
1,2,2,4,0,0,0,1,0,1,4,0,0
2,1,2,4,0,0,0,2,1,2,3,0,0
2,0,1,4,18,0,0,1,0,1,3,90,28
2,1,9,3,122,44,42,1,0,7,3,69,26
28,1,27,3,114,56,52,29,0,28,3,39,11
33,0,28,3,125,57,56,30,0,24,3,10,0
30,1,30,4,2,37,37,28,0,35,3,0,0
18,2,7,2,0,0,0,14,0,6,3,0,0
2,0,2,7,0,0,0,2,0,1,3,0,0
2,0,2,4,0,0,0,1,0,2,3,1,0
2,0,2,2,21,0,0,1,0,1,3,95,36
1,2,6,3,129,42,42,3,0,10,3,54,25
23,1,40,4,122,59,61,24,0,29,4,29,19
30,0,28,5,113,61,58,37,1,31,1,5,0
30,1,26,3,13,24,51,23,0,28,2,0,0
17,1,2,2,0,0,0,26,0,17,5,0,1
2,0,2,5,0,0,0,1,0,1,3,1,0
1,1,2,4,0,0,0,1,1,2,2,1,1
2,1,2,2,24,0,0,2,1,1,3,78,45
2,1,7,4,112,39,37,2,0,7,3,62,32
26,0,35,5,120,54,63,28,0,26,2,44,11
21,0,27,4,123,58,59,37,0,30,3,13,2
26,0,39,4,21,46,43,27,0,27,4,0,0
19,1,14,3,0,0,0,23,0,10,2,2,0
1,3,2,2,0,0,0,2,0,1,4,0,0
2,1,1,6,0,0,0,1,0,2,3,1,1
2,0,2,3,17,0,0,1,0,1,2,113,39
4,1,5,2,115,34,41,4,0,11,4,96,16
20,1,26,4,130,58,55,24,0,26,2,57,10
27,0,34,4,118,58,62,32,0,26,4,4,0
39,0,24,4,1,33,40,34,0,31,3,1,1
15,0,7,2,0,0,0,13,0,13,2,0,0
2,1,2,4,0,0,0,1,0,1,4,0,0
2,2,2,4,0,0,0,1,0,2,3,0,0
1,0,2,4,17,0,0,2,0,1,3,154,22
3,0,9,4,120,36,41,2,0,6,2,83,11
17,2,32,3,121,61,56,27,0,31,3,57,1
33,0,35,4,118,57,59,23,0,40,3,13,0
22,1,32,3,9,49,26,29,1,31,2,1,1
22,1,16,4,0,0,0,4,0,4,4,0,0
2,0,2,3,0,0,0,1,0,1,2,0,0
1,0,2,4,0,0,0,2,0,2,3,0,0
2,1,2,5,21,0,0,1,1,1,4,113,54
2,0,8,4,123,41,41,3,0,7,4,91,37
32,0,24,3,106,58,59,25,0,31,1,47,30
28,1,33,2,124,59,47,28,1,25,4,7,0
30,1,33,3,25,33,59,28,0,28,1,0,0
16,1,3,5,0,0,2,30,0,19,4,0,0
1,0,2,5,0,0,0,1,1,1,3,0,0
2,0,2,3,0,0,0,1,0,2,3,0,0
2,0,2,2,17,0,0,2,0,1,4,111,29
3,1,6,4,124,39,41,3,0,6,2,78,13
13,0,42,5,119,61,56,25,0,35,4,60,13
29,1,34,2,106,54,59,27,0,29,2,2,0
27,1,26,4,10,22,44,29,1,30,3,0,0
12,1,2,4,0,0,0,20,0,11,2,0,0
2,1,2,4,0,0,0,1,0,1,4,0,0
2,0,1,3,0,0,0,2,2,2,3,0,0
2,1,2,3,18,0,0,1,0,2,2,106,34
1,0,6,5,128,40,44,3,0,6,2,68,21
27,1,29,3,125,59,58,30,0,36,3,34,16
35,2,31,2,107,61,57,29,0,24,6,1,2
26,2,34,4,5,25,39,37,0,24,2,1,2
11,1,3,5,0,0,0,12,0,11,3,0,0
2,2,2,4,0,0,0,2,1,2,2,0,0
1,1,2,3,0,0,0,1,1,1,2,0,0
2,1,2,4,18,0,0,2,1,2,4,78,31
2,1,12,4,120,41,40,3,0,6,2,69,22
29,0,21,2,121,52,62,30,0,27,4,73,0
29,1,27,5,108,56,60,28,0,37,2,20,0
29,0,31,4,12,54,14,23,0,29,5,1,0
25,2,16,1,0,0,0,5,0,2,2,0,2
1,1,2,5,0,0,0,1,0,2,3,0,0
2,0,2,5,0,0,0,2,1,1,1,0,0
2,0,2,3,19,0,0,1,0,2,4,104,32
2,1,6,3,138,41,41,3,0,5,3,77,5
26,2,34,3,129,63,60,27,1,27,2,45,0
36,1,31,5,109,63,65,41,1,34,5,3,0
33,1,27,3,0,31,30,30,0,34,3,0,1
15,1,6,3,0,0,0,7,1,2,1,0,0
2,1,2,6,0,0,0,2,0,2,3,0,1
2,0,2,3,0,0,0,1,0,1,5,0,1
1,0,1,3,24,0,0,2,0,2,3,90,43
3,1,7,4,124,38,45,2,0,11,2,63,16
27,0,30,4,125,60,62,30,0,31,3,45,0
22,1,31,2,107,60,61,29,0,32,3,22,0
35,0,29,5,5,38,21,32,0,30,3,0,0
19,1,12,3,0,0,0,4,0,2,4,0,0
2,0,2,3,0,0,0,1,1,2,2,0,0
1,1,2,5,0,0,0,2,0,1,3,1,0
2,0,2,3,15,0,0,1,1,2,2,102,51
4,2,6,1,113,35,36,4,0,5,4,93,30
23,1,30,5,124,57,59,24,0,33,2,46,17
28,1,22,4,118,54,61,25,1,36,4,16,0
37,0,31,5,10,48,30,25,1,37,3,0,1
22,0,9,3,0,0,0,8,0,3,3,1,0
1,0,2,4,0,0,0,2,0,2,2,0,0
2,2,2,2,0,0,0,1,1,1,3,0,0
2,0,2,5,20,0,0,2,0,2,3,74,49
2,2,5,2,118,35,41,4,0,8,2,57,28
20,2,32,4,118,59,57,22,0,34,3,38,22
34,0,30,4,124,56,58,23,0,42,3,16,0
28,2,28,3,14,43,44,22,0,34,5,0,0
15,0,16,5,0,0,0,18,0,7,3,1,1
0,0,0,3,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,2,1,0
1,0,0,1,13,0,0,1,0,1,0,21,3
0,0,3,1,81,31,35,1,0,4,2,2,0
15,0,27,0,0,13,15,25,0,16,0,0,0
1,0,0,2,0,0,0,4,0,2,0,0,0
0,0,1,0,0,0,0,0,0,0,2,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,2,0,0
0,0,0,2,17,0,0,0,0,1,0,20,10
0,0,6,0,80,32,33,2,0,6,0,2,0
16,0,21,1,1,19,14,14,0,22,1,0,0
8,0,3,1,0,0,0,4,0,1,1,0,0
1,1,0,1,0,0,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,0,0,2,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0
1,0,1,1,0,0,0,0,1,0,0,0,0
0,0,0,1,13,0,0,1,0,0,2,36,1
1,0,8,1,84,40,34,0,0,5,0,2,0
15,0,24,1,1,15,9,21,0,16,1,0,0
9,0,0,1,0,0,0,3,0,0,1,1,0
1,0,1,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,17,0,0,0,0,0,1,30,2
2,1,1,0,80,38,30,1,0,5,0,1,0
23,0,20,2,1,10,19,16,0,22,1,0,0
3,0,1,0,0,0,0,6,1,1,0,0,0
1,0,0,2,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0,0
0,1,1,0,0,0,0,1,0,0,0,0,0
0,0,0,2,16,0,0,0,0,1,1,24,3
3,0,5,1,82,33,33,3,0,3,1,2,0
20,0,15,0,0,17,15,20,0,20,0,0,0
9,0,1,1,0,0,0,2,0,2,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,2,0,0
1,0,0,2,21,0,0,1,0,0,0,31,2
1,0,6,1,78,37,39,1,1,6,1,2,0
21,0,18,1,0,9,14,27,0,17,1,0,1
2,0,1,0,0,0,0,4,0,1,0,0,0
0,1,0,2,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,17,0,0,0,0,0,1,33,1
1,0,4,2,77,41,29,1,0,5,0,3,0
30,0,15,0,1,14,11,22,0,10,1,0,0
7,0,0,1,0,0,0,2,0,2,1,0,0
0,0,1,1,0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,19,0,0,1,0,0,1,20,4
0,0,6,1,73,35,34,2,0,4,1,1,0
22,0,14,1,4,9,18,17,0,25,0,1,0
4,0,1,1,0,0,0,4,0,2,2,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1,1,0,0,0,0
1,0,1,1,0,0,0,0,0,0,2,1,0
0,0,0,2,17,0,0,0,0,1,0,28,2
1,0,3,0,78,36,33,1,0,7,2,2,0
17,0,25,0,0,16,10,21,0,12,0,0,0
8,0,0,2,0,0,0,3,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,2,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,1,0,1,0,0
0,1,1,0,19,0,0,0,0,0,1,21,3
0,0,9,1,75,33,32,0,0,6,0,4,0
14,0,12,1,2,9,22,23,0,21,2,0,0
6,0,3,1,0,0,0,6,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,1,20,0,0,1,0,0,1,35,2
2,0,4,1,76,40,36,3,0,5,1,0,0
22,1,22,1,1,16,5,17,0,14,1,0,0
6,0,2,1,0,0,0,4,0,0,0,0,0
1,0,1,1,0,0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,1,22,0,0,0,0,0,0,21,4
1,1,5,0,73,34,35,4,0,7,1,3,0
23,0,12,2,0,11,15,19,0,22,1,0,0
6,0,2,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,1,0,0
0,0,1,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,2,0,0
0,0,1,1,0,0,0,0,0,0,0,1,0
1,1,0,0,21,0,0,1,0,1,1,45,2
1,0,7,2,78,39,32,0,0,7,1,1,0
23,0,23,0,0,16,12,21,0,13,0,0,0
3,0,0,1,0,0,0,4,0,1,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0,2,0,0
1,0,1,0,20,0,0,0,0,0,0,28,2
0,0,5,1,76,38,32,2,1,8,1,3,0
21,0,19,1,1,15,12,22,0,11,1,0,0
8,0,2,0,0,0,0,2,0,1,0,0,0
0,1,0,1,0,0,0,1,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0,2,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,2,0,0
1,0,0,1,17,0,0,0,0,0,0,23,1
0,0,4,1,75,30,29,1,0,6,0,6,0
17,0,21,0,6,20,19,17,0,19,1,0,0
8,0,2,2,0,0,0,4,0,3,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,2,21,0,0,0,0,0,1,21,4
1,0,6,0,74,38,25,0,0,5,1,5,0
20,0,18,2,3,14,21,13,0,20,0,0,0
9,0,1,0,0,0,0,9,0,1,2,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,1,0,1,0,1,1
1,1,0,0,0,0,0,0,0,0,1,0,0
0,0,1,2,0,0,0,0,0,0,1,0,0
0,0,0,0,17,0,0,1,0,1,0,20,5
1,0,3,2,84,32,41,2,0,4,2,4,0
16,1,24,0,0,13,15,20,0,25,0,0,0
4,0,0,1,0,0,0,6,0,1,0,0,0
0,0,1,1,0,0,0,0,0,0,2,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,2,0,0
1,0,1,1,15,0,0,0,0,1,0,36,4
1,0,2,1,82,34,32,1,0,3,2,1,0
25,0,21,0,1,19,13,24,0,16,0,0,0
5,0,1,2,0,0,0,2,0,1,0,0,0
0,0,1,0,0,0,0,1,1,0,1,0,0
1,0,0,2,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,2,0,0
0,1,1,0,19,0,0,0,0,1,0,33,4
0,0,7,2,81,37,29,3,0,4,0,2,0
21,1,19,0,0,16,18,14,0,19,2,0,0
6,1,2,1,0,0,0,7,0,2,0,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,1,0,0
0,1,0,1,17,0,0,0,0,1,1,17,8
2,1,8,0,84,34,34,2,0,2,0,1,0
16,0,17,2,2,13,22,17,0,28,1,0,0
7,0,1,0,0,0,0,6,0,3,1,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,1,1,0,0
0,1,0,1,0,0,0,0,1,0,0,0,0
1,0,1,0,21,0,0,1,0,1,2,24,2
0,0,9,2,77,39,38,1,0,5,1,3,0
18,0,17,0,0,7,14,18,0,24,0,0,0
4,0,0,2,0,0,0,4,0,2,0,0,1
1,0,1,0,0,0,0,0,1,0,1,0,0
0,1,0,2,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,22,0,0,1,0,0,0,29,3
2,0,5,0,74,35,39,0,0,10,1,1,0
16,0,17,2,2,12,12,21,0,17,1,0,0
9,0,0,1,0,0,0,5,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0,1,0,0,0
0,1,1,0,0,0,0,0,0,0,2,0,0
0,0,0,2,19,0,0,0,0,0,0,28,2
3,1,6,0,80,36,33,3,0,5,1,3,0
19,2,26,3,1,24,7,19,0,16,2,0,0
14,1,2,3,0,0,0,4,0,1,2,0,0
2,1,2,4,0,0,0,2,0,2,3,0,0
2,0,2,4,0,0,0,1,0,1,3,0,0
1,2,2,3,0,0,0,1,0,2,3,1,0
2,2,2,3,0,0,0,2,1,1,2,0,0
2,0,2,4,16,0,0,1,0,2,4,91,28
2,1,7,3,116,34,41,4,0,6,4,96,47
18,1,33,5,118,59,50,27,0,34,2,37,4
30,1,36,2,100,58,61,20,0,29,3,1,0
20,2,25,4,15,14,48,31,0,24,3,0,0
9,1,2,4,0,0,0,26,0,13,3,0,0
2,1,2,3,0,0,0,2,0,2,3,0,1
1,2,2,4,0,0,0,1,0,1,2,0,0
2,0,2,4,21,0,0,1,0,1,3,117,33
4,0,8,4,126,43,41,3,1,11,2,67,35
19,0,32,3,114,63,55,24,1,30,3,65,8
34,1,35,4,99,54,58,25,0,27,3,0,0
26,2,26,1,1,17,30,30,1,33,3,0,1
8,0,2,6,0,0,0,7,0,9,2,0,0
2,0,2,2,0,0,0,2,0,1,4,0,0
2,0,2,5,0,0,0,1,0,2,2,1,0
1,1,2,4,17,0,0,2,0,1,5,90,35
3,0,8,3,124,41,43,3,0,6,2,60,9
30,0,21,2,118,52,59,31,1,27,3,59,20
28,1,37,4,108,57,57,27,0,41,3,0,1
24,0,21,5,1,24,35,22,0,28,1,0,0
16,0,4,3,0,0,0,20,1,3,3,1,0
1,1,2,2,0,0,0,2,0,1,3,1,0
2,1,1,4,0,0,0,1,0,1,4,0,0
2,2,2,4,20,0,0,2,0,2,2,79,44
1,1,9,4,111,34,40,6,1,4,2,47,30
18,0,22,4,115,52,59,22,1,36,4,40,8
36,1,21,2,116,55,61,26,0,29,3,2,0
36,1,21,4,5,22,44,33,0,36,3,1,0
12,0,5,5,0,0,0,14,0,12,2,0,0
2,1,2,2,0,0,0,1,0,2,3,1,0
1,0,1,5,0,0,0,2,1,1,4,0,1
2,0,2,3,20,0,0,1,0,2,3,87,50
2,1,6,3,125,37,43,3,0,8,3,73,22
25,2,27,1,128,61,61,30,0,31,3,53,0
35,0,29,5,91,61,63,29,0,26,2,0,1
31,1,32,5,0,19,19,27,0,37,4,2,0
7,1,2,3,0,0,0,8,0,1,3,0,1
2,1,1,4,0,0,0,1,0,1,2,1,1
2,1,2,1,0,0,0,2,0,2,2,0,0
1,1,2,5,13,0,0,1,0,1,4,90,34
3,0,7,5,129,38,36,2,0,6,1,67,11
24,1,34,2,128,61,62,32,1,24,4,48,0
31,1,30,4,91,62,62,27,0,34,4,9,0
27,0,31,5,6,37,8,34,0,19,2,0,0
23,1,6,2,0,0,0,3,1,2,2,0,0
1,1,2,2,0,0,0,2,0,1,5,1,0
2,0,2,5,0,0,0,1,0,2,2,0,0
2,4,2,2,18,0,0,1,0,1,2,62,57
1,1,11,5,116,39,36,4,0,6,3,84,23
23,1,31,4,121,59,59,18,1,32,3,59,13
31,0,29,4,107,57,56,30,0,36,2,2,0
34,0,22,3,3,24,35,25,1,28,5,1,0
11,1,3,4,0,0,0,18,1,3,2,1,0
2,1,2,2,0,0,0,2,1,2,2,2,0
1,1,2,4,0,0,0,1,1,1,3,1,0
2,0,2,5,26,0,0,2,0,2,3,74,35
4,0,8,3,117,39,43,4,0,6,4,62,26
17,1,31,3,123,58,61,32,0,28,3,51,0
40,1,28,3,82,55,57,26,0,34,2,23,0
27,2,27,3,16,48,3,29,0,16,3,0,0
20,0,15,5,0,0,0,2,0,1,4,0,0
2,0,2,3,0,0,0,1,1,2,2,0,0
2,4,2,2,0,0,0,1,0,1,2,0,0
1,1,2,5,20,0,0,2,0,2,4,93,28
3,1,6,4,119,41,37,2,1,6,2,67,22
23,2,33,3,122,59,55,28,0,27,3,59,3
32,2,28,3,106,61,60,24,1,28,4,5,0
34,0,29,6,0,29,25,38,0,25,1,0,0
17,0,3,2,0,0,0,10,1,3,3,1,0
1,0,2,3,0,0,0,1,0,1,4,0,0
2,1,2,4,0,0,0,2,0,2,3,0,0
2,1,2,3,18,0,0,1,0,1,3,85,31
2,2,4,3,121,34,43,3,1,10,2,59,11
25,0,26,6,116,60,58,26,0,29,3,39,5
34,0,27,2,109,57,57,27,0,37,3,7,0
25,1,32,4,0,27,28,25,0,27,3,0,0
17,0,3,3,0,0,0,14,0,3,3,0,0
2,1,2,3,0,0,0,1,0,1,3,0,0
1,0,2,5,0,0,0,2,0,2,3,1,0
2,2,2,3,19,0,0,1,0,1,2,106,32
2,0,6,4,106,36,38,4,0,7,1,69,20
15,1,36,2,114,54,56,21,0,26,5,80,5
23,2,33,4,117,49,57,31,0,30,4,11,1
32,0,16,5,5,38,33,35,0,29,2,1,0
24,0,7,3,0,0,0,11,0,4,3,0,0
2,0,2,3,0,0,0,2,0,2,2,0,0
2,0,2,4,0,0,0,1,0,1,3,1,1
1,0,2,4,19,0,0,1,0,2,3,83,31
2,0,9,3,132,41,40,2,0,8,3,62,12
20,1,37,3,125,55,64,27,0,34,2,53,2
24,0,31,4,86,59,64,32,0,30,4,2,2
32,1,29,3,0,23,15,27,0,32,3,0,0
9,0,3,5,0,0,0,4,1,1,2,0,0
1,1,2,3,0,0,0,2,1,2,2,0,1
2,2,2,2,0,0,0,1,0,1,5,2,0
2,1,2,4,21,0,0,2,0,2,2,99,46
1,1,7,3,113,39,44,1,0,12,3,64,21
22,0,36,4,117,57,56,26,0,27,3,40,16
23,1,29,4,112,54,59,29,1,28,3,0,3
30,0,22,3,4,16,42,27,1,35,2,0,0
11,0,2,4,0,0,0,23,0,7,4,0,0
2,2,2,2,0,0,0,1,0,1,2,0,0
1,4,2,5,0,0,0,1,1,2,2,1,0
2,1,2,4,20,0,0,2,1,1,4,94,22
3,0,10,2,114,36,39,5,0,9,3,80,8
17,1,31,4,115,55,57,27,0,27,2,75,5
31,1,22,4,100,52,62,23,0,32,4,24,0
26,2,28,3,15,49,14,35,0,24,4,1,0
28,0,13,4,0,0,0,3,0,2,1,0,0
2,0,2,4,0,0,0,1,1,1,4,0,0
2,0,2,4,0,0,0,2,0,2,3,1,0
1,0,2,4,16,0,0,1,1,1,3,82,39
2,1,6,2,119,35,39,3,0,4,3,54,18
19,0,30,3,130,57,62,26,0,30,1,42,1
26,0,27,3,97,57,61,27,0,32,2,2,0
35,0,25,2,0,23,28,39,0,24,2,0,1
12,0,1,2,0,0,0,13,0,1,2,0,0
1,2,1,1,0,0,0,1,0,0,2,0,0
1,1,1,3,0,0,0,1,0,1,0,0,0
1,1,1,1,22,0,0,1,0,1,2,73,21
1,0,7,3,128,39,43,1,0,10,1,26,5
23,0,33,1,88,62,59,26,0,31,3,3,0
26,1,30,2,0,26,9,26,0,21,2,0,0
11,0,5,4,0,0,0,2,1,1,1,0,0
1,1,1,2,0,0,0,1,1,1,2,1,0
1,1,1,1,0,0,0,1,0,1,2,0,1
1,2,1,2,0,0,0,1,0,0,2,0,0
1,0,1,4,21,0,0,1,0,1,1,90,26
1,0,8,1,130,40,39,3,0,8,2,46,11
21,1,30,2,85,63,60,18,0,34,2,1,0
39,0,22,2,0,21,13,25,0,24,1,0,0
10,1,1,3,0,0,0,6,0,1,0,0,0
1,0,2,2,0,0,0,1,0,1,4,1,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,0,0,3,0,0
1,2,1,1,21,0,0,0,0,1,2,73,19
3,0,5,3,126,40,41,2,0,7,0,68,3
25,1,29,2,92,62,62,30,1,26,2,2,0
31,0,28,2,0,27,7,27,0,22,2,0,0
13,1,3,2,0,0,0,3,0,1,2,0,1
1,0,2,3,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,0,0,1,3,0,0
1,2,1,2,0,0,0,1,0,0,1,0,0
1,0,1,2,22,0,0,1,1,1,2,85,17
2,1,6,1,133,44,42,3,0,4,1,72,0
29,0,29,4,86,58,59,27,0,35,2,0,0
33,0,28,1,0,31,6,18,0,25,2,0,1
12,1,2,2,0,0,0,1,0,1,2,0,0
1,1,1,2,0,0,0,1,0,1,1,0,0
1,1,2,2,0,0,0,1,0,1,2,1,1
1,0,1,2,0,0,0,1,0,1,2,0,0
1,1,1,2,22,0,0,1,0,0,2,87,19
2,0,7,3,138,39,44,3,0,8,1,41,1
26,0,31,2,78,62,60,22,0,35,2,1,0
25,0,29,2,0,21,12,30,0,23,2,0,0
8,1,2,3,0,0,0,1,0,1,2,0,0
1,0,1,1,0,0,0,1,0,1,1,0,0
1,0,2,2,0,0,0,1,0,1,2,1,0
1,0,1,3,0,0,0,1,0,1,1,0,0
