date,A,B,C,D,E,F,G,H,I,J,K,L,M
2023/1/2 0:16,1,2,1,0,19,0,0,1,0,0,3,77,26
2023/1/2 0:17,2,0,5,4,134,39,42,1,0,8,1,41,15
2023/1/2 0:18,25,0,27,2,86,64,60,20,0,34,2,2,1
2023/1/2 0:19,34,0,30,2,0,21,13,27,0,29,1,0,0
2023/1/2 0:20,7,0,2,2,0,0,0,2,0,1,2,0,0
2023/1/2 0:21,0,0,1,2,0,0,0,1,1,1,1,0,0
2023/1/2 0:22,1,0,1,2,0,0,0,1,1,0,2,0,0
2023/1/2 0:23,1,0,1,1,0,0,0,0,0,1,2,0,0
2023/1/2 0:24,1,1,1,3,20,0,0,1,1,1,2,64,23
2023/1/2 0:25,2,0,9,2,130,37,43,2,0,4,1,30,10
2023/1/2 0:26,25,1,28,1,87,64,63,28,0,31,2,2,0
2023/1/2 0:27,24,0,28,4,0,18,12,27,0,27,2,0,1
2023/1/2 0:28,11,0,1,1,0,0,0,5,0,1,1,1,0
2023/1/2 0:29,1,0,1,1,0,0,0,1,0,0,3,1,1
2023/1/2 0:30,1,2,1,1,0,0,0,1,0,1,0,0,0
2023/1/2 0:31,1,0,1,4,0,0,0,1,1,1,2,0,0
2023/1/2 0:32,1,0,1,2,24,0,0,1,1,1,2,88,11
2023/1/2 0:33,2,0,9,2,125,37,45,2,0,10,1,74,0
2023/1/2 0:34,18,0,33,2,89,56,60,27,1,25,3,4,0
2023/1/2 0:35,24,1,24,1,0,36,4,30,0,19,0,0,0
2023/1/2 0:36,20,0,7,3,0,0,0,1,0,1,2,0,0
2023/1/2 0:37,1,0,1,2,0,0,0,1,0,1,2,1,0
2023/1/2 0:38,1,0,1,2,0,0,0,0,0,1,2,0,0
2023/1/2 0:39,1,0,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 0:40,1,0,2,2,17,0,0,1,0,1,1,66,26
2023/1/2 0:41,3,0,5,3,133,40,37,3,0,6,1,53,9
2023/1/2 0:42,25,0,29,1,87,60,63,26,0,25,2,0,0
2023/1/2 0:43,28,0,26,3,0,17,20,29,0,28,2,0,0
2023/1/2 0:44,7,0,1,1,0,0,0,8,0,1,2,0,0
2023/1/2 0:45,1,0,1,3,0,0,0,1,0,1,2,0,0
2023/1/2 0:46,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/2 0:47,1,0,1,2,0,0,0,1,0,1,0,0,0
2023/1/2 0:48,1,1,1,1,22,0,0,1,0,0,3,93,9
2023/1/2 0:49,2,1,8,2,127,39,43,2,0,6,2,50,2
2023/1/2 0:50,19,1,31,1,88,60,59,29,0,27,1,2,0
2023/1/2 0:51,31,1,28,2,0,29,7,29,0,17,2,0,0
2023/1/2 0:52,15,0,2,3,0,0,0,5,0,1,2,0,0
2023/1/2 0:53,1,0,1,3,0,0,0,1,0,1,2,0,0
2023/1/2 0:54,1,1,2,1,0,0,0,0,1,0,1,0,0
2023/1/2 0:55,1,1,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 0:56,1,0,1,3,16,0,0,1,0,1,1,85,31
2023/1/2 0:57,1,0,9,1,145,42,39,1,0,6,2,54,8
2023/1/2 0:58,21,0,29,2,78,59,62,27,0,32,2,3,0
2023/1/2 0:59,32,0,32,3,0,28,9,23,0,23,2,0,0
2023/1/2 1:00,11,0,2,2,0,0,0,4,0,0,2,0,0
2023/1/2 1:01,1,0,1,2,0,0,0,1,0,1,0,0,0
2023/1/2 1:02,1,0,1,2,0,0,0,1,2,1,2,0,0
2023/1/2 1:03,1,0,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 1:04,1,0,1,2,26,0,0,0,0,1,2,86,13
2023/1/2 1:05,1,0,9,2,140,38,44,3,0,10,1,44,0
2023/1/2 1:06,17,0,32,2,73,63,61,19,1,39,0,6,1
2023/1/2 1:07,33,2,37,0,0,30,3,31,0,11,3,0,0
2023/1/2 1:08,7,0,3,4,0,0,0,1,0,1,2,0,0
2023/1/2 1:09,1,0,1,2,0,0,0,0,1,1,0,0,0
2023/1/2 1:10,1,0,1,1,0,0,0,1,0,1,4,0,0
2023/1/2 1:11,1,0,1,4,0,0,0,1,0,1,1,1,0
2023/1/2 1:12,1,0,1,2,22,0,0,1,0,1,2,79,17
2023/1/2 1:13,1,0,7,1,136,41,40,3,0,9,2,25,2
2023/1/2 1:14,27,2,26,1,83,59,64,24,0,30,1,0,0
2023/1/2 1:15,28,1,19,3,0,7,29,25,0,32,2,0,0
2023/1/2 1:16,6,0,1,2,0,0,0,12,0,4,1,2,0
2023/1/2 1:17,1,0,1,2,0,0,0,1,1,1,1,0,0
2023/1/2 1:18,1,1,1,1,0,0,0,1,0,1,3,0,0
2023/1/2 1:19,1,1,1,3,0,0,0,0,0,0,1,0,0
2023/1/2 1:20,1,2,1,1,20,0,0,1,0,1,2,72,14
2023/1/2 1:21,1,1,8,3,133,40,43,3,0,6,2,34,2
2023/1/2 1:22,20,0,29,2,86,60,61,27,0,29,1,2,0
2023/1/2 1:23,38,0,19,2,0,14,20,32,0,26,2,0,0
2023/1/2 1:24,6,0,2,2,0,0,0,7,0,1,1,0,0
2023/1/2 1:25,1,0,1,3,0,0,0,1,0,1,1,0,0
2023/1/2 1:26,1,0,1,1,0,0,0,1,0,0,4,0,0
2023/1/2 1:27,1,0,1,2,0,0,0,1,0,1,0,0,0
2023/1/2 1:28,1,0,1,3,21,0,0,1,0,1,2,77,37
2023/1/2 1:29,2,0,1,2,138,40,39,3,0,5,2,85,5
2023/1/2 1:30,24,0,37,2,81,61,63,22,0,37,1,2,0
2023/1/2 1:31,24,0,32,2,0,27,9,29,0,18,2,0,1
2023/1/2 1:32,13,0,3,1,0,0,0,3,0,0,2,0,0
2023/1/2 1:33,0,0,1,3,0,0,0,1,1,1,1,0,0
2023/1/2 1:34,1,0,1,3,0,0,0,1,0,1,2,1,0
2023/1/2 1:35,1,0,2,2,0,0,0,0,0,1,2,0,0
2023/1/2 1:36,1,0,1,2,23,0,0,1,0,1,1,64,22
2023/1/2 1:37,1,0,9,1,128,39,41,1,0,10,2,26,1
2023/1/2 1:38,27,2,21,0,89,54,64,29,1,25,1,3,0
2023/1/2 1:39,22,1,33,3,0,19,22,26,0,38,2,0,0
2023/1/2 1:40,6,1,1,2,0,0,0,3,1,1,2,0,0
2023/1/2 1:41,1,1,1,2,0,0,0,1,0,1,1,0,0
2023/1/2 1:42,1,0,1,2,0,0,0,1,0,1,3,0,0
2023/1/2 1:43,1,0,1,2,0,0,0,1,1,1,0,1,1
2023/1/2 1:44,1,1,1,2,22,0,0,1,0,1,3,74,27
2023/1/2 1:45,2,0,4,3,134,40,41,4,0,3,1,45,7
2023/1/2 1:46,22,0,37,2,83,62,63,26,1,29,2,0,0
2023/1/2 1:47,34,1,21,1,0,22,11,25,0,29,1,0,1
2023/1/2 1:48,10,0,2,3,0,0,0,4,0,1,1,0,0
2023/1/2 1:49,1,0,1,2,0,0,0,1,0,1,2,1,0
2023/1/2 1:50,1,0,2,2,0,0,0,0,1,1,2,0,0
2023/1/2 1:51,1,0,1,3,0,0,0,1,0,0,3,0,0
2023/1/2 1:52,1,0,1,1,21,0,0,1,0,1,0,80,7
2023/1/2 1:53,1,0,8,3,135,37,44,3,0,5,2,89,0
2023/1/2 1:54,24,0,26,2,83,62,59,25,1,39,2,3,0
2023/1/2 1:55,33,0,31,2,0,36,1,19,0,18,2,0,0
2023/1/2 1:56,14,0,5,2,0,0,0,1,1,1,1,0,0
2023/1/2 1:57,1,0,1,2,0,0,0,1,0,0,2,1,0
2023/1/2 1:58,1,1,1,2,0,0,0,1,0,1,1,0,0
2023/1/2 1:59,1,0,1,1,0,0,0,1,0,1,2,0,0
2023/1/2 2:00,1,1,1,2,18,0,0,1,0,1,2,63,17
2023/1/2 2:01,2,0,6,3,136,41,39,1,0,7,2,34,11
2023/1/2 2:02,24,1,29,0,85,61,61,27,0,21,2,1,0
2023/1/2 2:03,37,0,22,4,0,19,18,32,0,31,1,0,0
2023/1/2 2:04,8,0,2,1,0,0,0,5,0,0,1,0,0
2023/1/2 2:05,1,2,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 2:06,1,0,1,3,0,0,0,0,1,1,2,0,0
2023/1/2 2:07,1,0,1,2,0,0,0,1,0,1,2,1,0
2023/1/2 2:08,1,0,1,1,16,0,0,1,0,1,2,72,25
2023/1/2 2:09,1,0,7,3,138,39,41,3,0,4,1,46,1
2023/1/2 2:10,21,0,31,2,84,60,60,35,1,27,1,1,0
2023/1/2 2:11,27,0,38,2,0,29,8,26,0,17,2,1,0
2023/1/2 2:12,10,1,1,1,0,0,0,2,0,1,1,1,0
2023/1/2 2:13,1,1,1,2,0,0,0,1,0,1,2,1,0
2023/1/2 2:14,1,2,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 2:15,1,1,1,2,0,0,0,1,1,1,2,0,0
2023/1/2 2:16,1,0,1,3,14,0,0,0,1,1,1,95,18
2023/1/2 2:17,2,0,6,2,127,40,38,3,0,7,3,57,7
2023/1/2 2:18,20,1,35,1,98,60,60,17,0,31,1,0,0
2023/1/2 2:19,25,0,27,3,0,23,18,33,0,21,1,0,0
2023/1/2 2:20,15,1,1,1,0,0,0,9,0,2,2,0,0
2023/1/2 2:21,1,1,1,3,0,0,0,0,0,1,1,0,0
2023/1/2 2:22,1,0,1,3,0,0,0,1,0,1,3,1,0
2023/1/2 2:23,1,0,1,0,0,0,0,1,1,0,0,0,0
2023/1/2 2:24,1,0,1,4,21,0,0,1,0,1,2,70,23
2023/1/2 2:25,1,0,5,1,111,36,40,2,1,7,2,46,15
2023/1/2 2:26,19,1,27,2,105,57,57,19,1,28,2,3,0
2023/1/2 2:27,29,0,27,2,1,15,33,37,1,28,1,0,0
2023/1/2 2:28,7,0,1,2,0,0,0,12,0,4,1,0,0
2023/1/2 2:29,1,1,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 2:30,1,1,1,1,0,0,0,1,0,0,3,0,0
2023/1/2 2:31,1,0,1,3,0,0,0,1,0,1,0,0,0
2023/1/2 2:32,1,1,1,2,19,0,0,0,1,1,3,88,13
2023/1/2 2:33,2,1,4,2,135,41,39,2,1,3,1,31,3
2023/1/2 2:34,31,1,28,2,82,62,65,32,0,31,2,0,0
2023/1/2 2:35,26,0,33,3,0,19,10,29,0,20,2,0,0
2023/1/2 2:36,6,1,1,1,0,0,0,4,1,0,1,0,0
2023/1/2 2:37,1,0,1,3,0,0,0,0,0,1,2,0,0
2023/1/2 2:38,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/2 2:39,1,0,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 2:40,1,0,1,2,22,0,0,1,1,1,2,60,27
2023/1/2 2:41,2,1,9,1,119,38,39,4,0,7,1,51,7
2023/1/2 2:42,14,0,31,3,97,59,59,20,0,30,2,2,0
2023/1/2 2:43,31,0,28,1,0,23,20,32,1,24,1,0,0
2023/1/2 2:44,11,0,1,2,0,0,0,6,1,1,1,0,0
2023/1/2 2:45,1,2,1,2,0,0,0,1,0,1,3,0,0
2023/1/2 2:46,1,0,2,2,0,0,0,1,0,1,2,0,0
2023/1/2 2:47,1,2,1,2,0,0,0,0,0,1,2,0,0
2023/1/2 2:48,1,0,1,3,19,0,0,1,0,0,1,78,38
2023/1/2 2:49,1,1,7,1,136,39,41,2,0,8,1,34,2
2023/1/2 2:50,18,1,31,3,84,61,59,19,0,37,1,1,0
2023/1/2 2:51,28,0,34,3,0,21,17,25,0,29,3,1,0
2023/1/2 2:52,8,0,2,1,0,0,0,3,0,1,2,1,0
2023/1/2 2:53,1,2,1,0,0,0,0,1,1,1,1,0,0
2023/1/2 2:54,1,0,1,4,0,0,0,1,0,1,2,0,0
2023/1/2 2:55,1,0,1,2,0,0,0,1,0,0,1,0,0
2023/1/2 2:56,1,0,1,2,17,0,0,1,1,1,2,77,20
2023/1/2 2:57,2,0,7,2,138,40,35,0,0,3,1,32,25
2023/1/2 2:58,18,0,39,2,84,64,61,27,0,28,2,0,0
2023/1/2 2:59,27,0,27,2,0,13,25,29,1,29,1,0,0
2023/1/2 3:00,5,0,1,2,0,0,0,11,0,1,2,0,0
2023/1/2 3:01,1,0,1,3,0,0,0,1,0,0,3,0,0
2023/1/2 3:02,1,0,1,2,0,0,0,0,0,1,1,0,0
2023/1/2 3:03,1,1,1,0,0,0,0,1,0,1,1,0,0
2023/1/2 3:04,1,0,1,4,24,0,0,1,0,1,1,62,23
2023/1/2 3:05,2,0,7,2,128,40,44,1,0,9,3,35,2
2023/1/2 3:06,21,0,32,2,86,60,61,25,0,27,2,0,0
2023/1/2 3:07,31,1,19,1,0,10,23,32,0,28,1,0,0
2023/1/2 3:08,4,0,1,3,0,0,0,10,0,2,2,1,0
2023/1/2 3:09,1,0,1,2,0,0,0,1,0,1,0,0,0
2023/1/2 3:10,1,1,1,2,0,0,0,1,1,1,3,0,0
2023/1/2 3:11,1,0,1,1,0,0,0,1,0,1,1,0,0
2023/1/2 3:12,1,1,1,1,15,0,0,0,0,1,3,70,29
2023/1/2 3:13,1,0,7,3,121,36,39,2,0,5,2,74,4
2023/1/2 3:14,14,0,29,3,102,60,57,27,0,28,1,2,0
2023/1/2 3:15,33,0,33,2,0,29,17,24,0,26,1,1,0
2023/1/2 3:16,15,1,2,1,0,0,0,7,0,1,2,0,0
2023/1/2 3:17,1,1,1,2,0,0,0,1,0,1,1,0,0
2023/1/2 3:18,1,0,1,3,0,0,0,0,0,1,2,0,0
2023/1/2 3:19,1,0,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 3:20,1,0,1,2,20,0,0,1,0,0,2,90,30
2023/1/2 3:21,4,0,5,2,122,37,40,3,0,6,2,38,11
2023/1/2 3:22,19,0,28,2,91,56,60,22,0,30,1,11,0
2023/1/2 3:23,28,0,32,2,5,41,4,31,0,16,1,0,0
2023/1/2 3:24,20,0,6,2,0,0,0,2,0,1,3,0,0
2023/1/2 3:25,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/2 3:26,1,0,1,2,0,0,0,1,0,1,1,0,0
2023/1/2 3:27,1,0,2,2,0,0,0,1,2,0,1,0,1
2023/1/2 3:28,1,1,1,2,24,0,0,0,0,1,3,71,25
2023/1/2 3:29,1,2,7,1,132,39,42,2,0,5,1,51,5
2023/1/2 3:30,18,0,32,4,82,58,62,32,0,33,2,4,0
2023/1/2 3:31,28,0,28,1,0,26,11,24,1,24,1,0,0
2023/1/2 3:32,10,1,6,2,0,0,0,2,1,1,1,0,1
2023/1/2 3:33,1,0,1,2,0,0,0,0,0,0,2,0,0
2023/1/2 3:34,1,2,1,1,0,0,0,1,1,1,2,0,0
2023/1/2 3:35,1,0,1,4,0,0,0,1,0,1,2,0,0
2023/1/2 3:36,1,0,1,2,20,0,0,1,0,1,1,57,37
2023/1/2 3:37,2,0,5,2,126,38,40,2,1,7,2,15,13
2023/1/2 3:38,24,0,23,2,88,58,60,22,0,31,2,0,0
2023/1/2 3:39,31,0,19,2,4,3,38,26,0,28,2,0,0
2023/1/2 3:40,2,0,2,1,0,0,0,16,0,12,1,0,0
2023/1/2 3:41,1,0,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 3:42,1,1,1,2,0,0,0,1,0,1,2,0,0
2023/1/2 3:43,1,0,1,2,0,0,0,0,0,1,2,0,0
2023/1/2 3:44,1,0,1,3,25,0,0,1,0,1,1,74,19
2023/1/2 3:45,1,0,10,2,119,38,41,2,0,7,2,64,5
2023/1/2 3:46,18,0,20,2,95,56,62,23,0,34,2,15,0
2023/1/2 3:47,39,0,31,2,0,37,5,31,0,15,0,0,1
2023/1/2 3:48,16,0,4,2,0,0,0,1,0,1,2,2,0
2023/1/2 3:49,1,0,1,2,0,0,0,1,0,1,3,0,0
2023/1/2 3:50,1,2,1,0,0,0,0,1,1,1,1,1,0
2023/1/2 3:51,1,1,1,4,0,0,0,1,0,1,1,0,0
2023/1/2 3:52,1,0,1,2,17,0,0,1,0,0,2,80,33
2023/1/2 3:53,2,1,6,2,131,35,42,2,0,8,2,38,8
2023/1/2 3:54,17,0,36,2,89,62,63,22,0,28,2,0,1
2023/1/2 3:55,24,0,33,2,0,18,17,37,0,25,2,0,0
2023/1/2 3:56,4,0,1,2,0,0,0,6,1,1,0,0,0
2023/1/2 3:57,1,0,1,3,0,0,0,1,0,1,3,0,0
2023/1/2 3:58,2,0,2,1,0,0,0,1,1,1,1,1,0
2023/1/2 3:59,2,1,2,3,0,0,0,2,1,2,3,0,0
2023/1/2 4:00,2,0,2,5,20,0,0,1,0,1,3,104,32
2023/1/2 4:01,1,1,10,3,116,37,41,1,0,13,3,68,19
2023/1/2 4:02,24,2,23,3,117,54,57,21,0,26,2,63,3
2023/1/2 4:03,39,1,21,5,106,55,59,35,0,28,5,12,0
2023/1/2 4:04,26,0,33,4,27,60,22,27,0,31,2,2,0
2023/1/2 4:05,30,1,16,2,0,1,0,10,0,2,3,0,0
2023/1/2 4:06,3,0,2,4,0,0,0,2,0,1,4,0,0
2023/1/2 4:07,1,2,2,3,0,0,0,1,1,2,1,1,0
2023/1/2 4:08,2,0,2,4,20,0,0,2,2,1,2,124,32
2023/1/2 4:09,2,2,9,4,118,38,41,3,0,9,5,102,16
2023/1/2 4:10,22,1,24,3,113,56,60,27,1,32,3,90,14
2023/1/2 4:11,32,0,31,4,125,57,55,26,0,31,2,18,0
2023/1/2 4:12,28,1,24,4,10,41,36,24,0,31,2,0,0
2023/1/2 4:13,26,1,13,3,0,0,0,17,1,7,3,1,0
2023/1/2 4:14,1,2,2,4,0,0,0,1,0,1,4,0,0
2023/1/2 4:15,2,1,2,4,0,0,0,2,1,2,3,0,0
2023/1/2 4:16,2,0,1,4,18,0,0,1,0,1,3,90,28
2023/1/2 4:17,2,1,9,3,122,44,42,1,0,7,3,69,26
2023/1/2 4:18,28,1,27,3,114,56,52,29,0,28,3,39,11
2023/1/2 4:19,33,0,28,3,125,57,56,30,0,24,3,10,0
2023/1/2 4:20,30,1,30,4,2,37,37,28,0,35,3,0,0
2023/1/2 4:21,18,2,7,2,0,0,0,14,0,6,3,0,0
2023/1/2 4:22,2,0,2,7,0,0,0,2,0,1,3,0,0
2023/1/2 4:23,2,0,2,4,0,0,0,1,0,2,3,1,0
2023/1/2 4:24,2,0,2,2,21,0,0,1,0,1,3,95,36
2023/1/2 4:25,1,2,6,3,129,42,42,3,0,10,3,54,25
2023/1/2 4:26,23,1,40,4,122,59,61,24,0,29,4,29,19
2023/1/2 4:27,30,0,28,5,113,61,58,37,1,31,1,5,0
2023/1/2 4:28,30,1,26,3,13,24,51,23,0,28,2,0,0
2023/1/2 4:29,17,1,2,2,0,0,0,26,0,17,5,0,1
2023/1/2 4:30,2,0,2,5,0,0,0,1,0,1,3,1,0
2023/1/2 4:31,1,1,2,4,0,0,0,1,1,2,2,1,1
2023/1/2 4:32,2,1,2,2,24,0,0,2,1,1,3,78,45
2023/1/2 4:33,2,1,7,4,112,39,37,2,0,7,3,62,32
2023/1/2 4:34,26,0,35,5,120,54,63,28,0,26,2,44,11
2023/1/2 4:35,21,0,27,4,123,58,59,37,0,30,3,13,2
2023/1/2 4:36,26,0,39,4,21,46,43,27,0,27,4,0,0
2023/1/2 4:37,19,1,14,3,0,0,0,23,0,10,2,2,0
2023/1/2 4:38,1,3,2,2,0,0,0,2,0,1,4,0,0
2023/1/2 4:39,2,1,1,6,0,0,0,1,0,2,3,1,1
2023/1/2 4:40,2,0,2,3,17,0,0,1,0,1,2,113,39
2023/1/2 4:41,4,1,5,2,115,34,41,4,0,11,4,96,16
2023/1/2 4:42,20,1,26,4,130,58,55,24,0,26,2,57,10
2023/1/2 4:43,27,0,34,4,118,58,62,32,0,26,4,4,0
2023/1/2 4:44,39,0,24,4,1,33,40,34,0,31,3,1,1
2023/1/2 4:45,15,0,7,2,0,0,0,13,0,13,2,0,0
2023/1/2 4:46,2,1,2,4,0,0,0,1,0,1,4,0,0
2023/1/2 4:47,2,2,2,4,0,0,0,1,0,2,3,0,0
2023/1/2 4:48,1,0,2,4,17,0,0,2,0,1,3,154,22
2023/1/2 4:49,3,0,9,4,120,36,41,2,0,6,2,83,11
2023/1/2 4:50,17,2,32,3,121,61,56,27,0,31,3,57,1
2023/1/2 4:51,33,0,35,4,118,57,59,23,0,40,3,13,0
2023/1/2 4:52,22,1,32,3,9,49,26,29,1,31,2,1,1
2023/1/2 4:53,22,1,16,4,0,0,0,4,0,4,4,0,0
2023/1/2 4:54,2,0,2,3,0,0,0,1,0,1,2,0,0
2023/1/2 4:55,1,0,2,4,0,0,0,2,0,2,3,0,0
2023/1/2 4:56,2,1,2,5,21,0,0,1,1,1,4,113,54
2023/1/2 4:57,2,0,8,4,123,41,41,3,0,7,4,91,37
2023/1/2 4:58,32,0,24,3,106,58,59,25,0,31,1,47,30
2023/1/2 4:59,28,1,33,2,124,59,47,28,1,25,4,7,0
2023/1/2 5:00,30,1,33,3,25,33,59,28,0,28,1,0,0
2023/1/2 5:01,16,1,3,5,0,0,2,30,0,19,4,0,0
2023/1/2 5:02,1,0,2,5,0,0,0,1,1,1,3,0,0
2023/1/2 5:03,2,0,2,3,0,0,0,1,0,2,3,0,0
2023/1/2 5:04,2,0,2,2,17,0,0,2,0,1,4,111,29
2023/1/2 5:05,3,1,6,4,124,39,41,3,0,6,2,78,13
2023/1/2 5:06,13,0,42,5,119,61,56,25,0,35,4,60,13
2023/1/2 5:07,29,1,34,2,106,54,59,27,0,29,2,2,0
2023/1/2 5:08,27,1,26,4,10,22,44,29,1,30,3,0,0
2023/1/2 5:09,12,1,2,4,0,0,0,20,0,11,2,0,0
2023/1/2 5:10,2,1,2,4,0,0,0,1,0,1,4,0,0
2023/1/2 5:11,2,0,1,3,0,0,0,2,2,2,3,0,0
2023/1/2 5:12,2,1,2,3,18,0,0,1,0,2,2,106,34
2023/1/2 5:13,1,0,6,5,128,40,44,3,0,6,2,68,21
2023/1/2 5:14,27,1,29,3,125,59,58,30,0,36,3,34,16
2023/1/2 5:15,35,2,31,2,107,61,57,29,0,24,6,1,2
2023/1/2 5:16,26,2,34,4,5,25,39,37,0,24,2,1,2
2023/1/2 5:17,11,1,3,5,0,0,0,12,0,11,3,0,0
2023/1/2 5:18,2,2,2,4,0,0,0,2,1,2,2,0,0
2023/1/2 5:19,1,1,2,3,0,0,0,1,1,1,2,0,0
2023/1/2 5:20,2,1,2,4,18,0,0,2,1,2,4,78,31
2023/1/2 5:21,2,1,12,4,120,41,40,3,0,6,2,69,22
2023/1/2 5:22,29,0,21,2,121,52,62,30,0,27,4,73,0
2023/1/2 5:23,29,1,27,5,108,56,60,28,0,37,2,20,0
2023/1/2 5:24,29,0,31,4,12,54,14,23,0,29,5,1,0
2023/1/2 5:25,25,2,16,1,0,0,0,5,0,2,2,0,2
2023/1/2 5:26,1,1,2,5,0,0,0,1,0,2,3,0,0
2023/1/2 5:27,2,0,2,5,0,0,0,2,1,1,1,0,0
2023/1/2 5:28,2,0,2,3,19,0,0,1,0,2,4,104,32
2023/1/2 5:29,2,1,6,3,138,41,41,3,0,5,3,77,5
2023/1/2 5:30,26,2,34,3,129,63,60,27,1,27,2,45,0
2023/1/2 5:31,36,1,31,5,109,63,65,41,1,34,5,3,0
2023/1/2 5:32,33,1,27,3,0,31,30,30,0,34,3,0,1
2023/1/2 5:33,15,1,6,3,0,0,0,7,1,2,1,0,0
2023/1/2 5:34,2,1,2,6,0,0,0,2,0,2,3,0,1
2023/1/2 5:35,2,0,2,3,0,0,0,1,0,1,5,0,1
2023/1/2 5:36,1,0,1,3,24,0,0,2,0,2,3,90,43
2023/1/2 5:37,3,1,7,4,124,38,45,2,0,11,2,63,16
2023/1/2 5:38,27,0,30,4,125,60,62,30,0,31,3,45,0
2023/1/2 5:39,22,1,31,2,107,60,61,29,0,32,3,22,0
2023/1/2 5:40,35,0,29,5,5,38,21,32,0,30,3,0,0
2023/1/2 5:41,19,1,12,3,0,0,0,4,0,2,4,0,0
2023/1/2 5:42,2,0,2,3,0,0,0,1,1,2,2,0,0
2023/1/2 5:43,1,1,2,5,0,0,0,2,0,1,3,1,0
2023/1/2 5:44,2,0,2,3,15,0,0,1,1,2,2,102,51
2023/1/2 5:45,4,2,6,1,113,35,36,4,0,5,4,93,30
2023/1/2 5:46,23,1,30,5,124,57,59,24,0,33,2,46,17
2023/1/2 5:47,28,1,22,4,118,54,61,25,1,36,4,16,0
2023/1/2 5:48,37,0,31,5,10,48,30,25,1,37,3,0,1
2023/1/2 5:49,22,0,9,3,0,0,0,8,0,3,3,1,0
2023/1/2 5:50,1,0,2,4,0,0,0,2,0,2,2,0,0
2023/1/2 5:51,2,2,2,2,0,0,0,1,1,1,3,0,0
2023/1/2 5:52,2,0,2,5,20,0,0,2,0,2,3,74,49
2023/1/2 5:53,2,2,5,2,118,35,41,4,0,8,2,57,28
2023/1/2 5:54,20,2,32,4,118,59,57,22,0,34,3,38,22
2023/1/2 5:55,34,0,30,4,124,56,58,23,0,42,3,16,0
2023/1/2 5:56,28,2,28,3,14,43,44,22,0,34,5,0,0
2023/1/2 5:57,15,0,16,5,0,0,0,18,0,7,3,1,1
2023/1/2 5:58,0,0,0,3,0,0,0,0,1,0,0,1,0
2023/1/2 5:59,0,0,1,0,0,0,0,0,0,0,2,1,0
2023/1/2 6:00,1,0,0,1,13,0,0,1,0,1,0,21,3
2023/1/2 6:01,0,0,3,1,81,31,35,1,0,4,2,2,0
2023/1/2 6:02,15,0,27,0,0,13,15,25,0,16,0,0,0
2023/1/2 6:03,1,0,0,2,0,0,0,4,0,2,0,0,0
2023/1/2 6:04,0,0,1,0,0,0,0,0,0,0,2,0,0
2023/1/2 6:05,1,1,0,0,0,0,0,0,0,0,0,0,0
2023/1/2 6:06,0,1,1,2,0,0,0,1,0,1,0,0,0
2023/1/2 6:07,1,1,0,0,0,0,0,0,0,0,2,0,0
2023/1/2 6:08,0,0,0,2,17,0,0,0,0,1,0,20,10
2023/1/2 6:09,0,0,6,0,80,32,33,2,0,6,0,2,0
2023/1/2 6:10,16,0,21,1,1,19,14,14,0,22,1,0,0
2023/1/2 6:11,8,0,3,1,0,0,0,4,0,1,1,0,0
2023/1/2 6:12,1,1,0,1,0,0,0,0,1,0,0,0,0
2023/1/2 6:13,0,1,1,0,0,0,0,1,0,0,2,0,0
2023/1/2 6:14,0,1,0,1,0,0,0,0,0,1,0,0,0
2023/1/2 6:15,1,0,1,1,0,0,0,0,1,0,0,0,0
2023/1/2 6:16,0,0,0,1,13,0,0,1,0,0,2,36,1
2023/1/2 6:17,1,0,8,1,84,40,34,0,0,5,0,2,0
2023/1/2 6:18,15,0,24,1,1,15,9,21,0,16,1,0,0
2023/1/2 6:19,9,0,0,1,0,0,0,3,0,0,1,1,0
2023/1/2 6:20,1,0,1,1,0,0,0,0,0,1,0,0,0
2023/1/2 6:21,0,0,0,1,0,0,0,0,0,0,1,0,0
2023/1/2 6:22,1,0,1,0,0,0,0,1,0,0,1,0,0
2023/1/2 6:23,0,1,0,1,0,0,0,0,0,1,0,0,0
2023/1/2 6:24,0,0,1,1,17,0,0,0,0,0,1,30,2
2023/1/2 6:25,2,1,1,0,80,38,30,1,0,5,0,1,0
2023/1/2 6:26,23,0,20,2,1,10,19,16,0,22,1,0,0
2023/1/2 6:27,3,0,1,0,0,0,0,6,1,1,0,0,0
2023/1/2 6:28,1,0,0,2,0,0,0,1,0,0,1,0,0
2023/1/2 6:29,0,0,1,0,0,0,0,0,0,1,1,0,0
2023/1/2 6:30,1,0,0,1,0,0,0,0,1,0,1,0,0
2023/1/2 6:31,0,1,1,0,0,0,0,1,0,0,0,0,0
2023/1/2 6:32,0,0,0,2,16,0,0,0,0,1,1,24,3
